ed,State,Persons
Postgraduate Degree,NSW,569500
Graduate Diploma/Graduate Certificate,NSW,183100
Bachelor Degree,NSW,1282700
Advanced Diploma/Diploma,NSW,569300
Certificate III/IV,NSW,952700
Year 12 or equivalent,NSW,1091600
Year 11,NSW,224500
Year 10,NSW,659900
Below Year 10,NSW,420000
Postgraduate Degree,VIC,441400
Graduate Diploma/Graduate Certificate,VIC,218200
Bachelor Degree,VIC,1145600
Advanced Diploma/Diploma,VIC,533700
Certificate III/IV,VIC,695300
Year 12 or equivalent,VIC,922600
Year 11,VIC,292800
Year 10,VIC,342900
Below Year 10,VIC,311200
Postgraduate Degree,QLD,241400
Graduate Diploma/Graduate Certificate,QLD,134600
Bachelor Degree,QLD,708200
Advanced Diploma/Diploma,QLD,412600
Certificate III/IV,QLD,843700
Year 12 or equivalent,QLD,732200
Year 11,QLD,154800
Year 10,QLD,449300
Below Year 10,QLD,202300
Postgraduate Degree,SA,85900
Graduate Diploma/Graduate Certificate,SA,49600
Bachelor Degree,SA,243700
Advanced Diploma/Diploma,SA,125300
Certificate III/IV,SA,256800
Year 12 or equivalent,SA,250600
Year 11,SA,126200
Year 10,SA,118500
Below Year 10,SA,81000
Postgraduate Degree,WA,131100
Graduate Diploma/Graduate Certificate,WA,72000
Bachelor Degree,WA,392300
Advanced Diploma/Diploma,WA,183000
Certificate III/IV,WA,419300
Year 12 or equivalent,WA,395200
Year 11,WA,119300
Year 10,WA,243800
Below Year 10,WA,106500
Postgraduate Degree,TAS,35100
Graduate Diploma/Graduate Certificate,TAS,16600
Bachelor Degree,TAS,70900
Advanced Diploma/Diploma,TAS,34900
Certificate III/IV,TAS,89100
Year 12 or equivalent,TAS,57300
Year 11,TAS,20600
Year 10,TAS,61100
Below Year 10,TAS,26600
Postgraduate Degree,NT,15600
Graduate Diploma/Graduate Certificate,NT,7900
Bachelor Degree,NT,30900
Advanced Diploma/Diploma,NT,13700
Certificate III/IV,NT,30500
Year 12 or equivalent,NT,31400
Year 11,NT,8100
Year 10,NT,13700
Below Year 10,NT,7800
Postgraduate Degree,ACT,52600
Graduate Diploma/Graduate Certificate,ACT,21000
Bachelor Degree,ACT,88000
Advanced Diploma/Diploma,ACT,34600
Certificate III/IV,ACT,38900
Year 12 or equivalent,ACT,64200
Year 11,ACT,7100
Year 10,ACT,22500
Below Year 10,ACT,11300
